Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787725021,30,,Aggregated,2.100000,0.000000,9500,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,325,0,9500,9786.327258571266,285.622889874503,16849.952570162714,1745.8246153846153
1787725022,30,,Aggregated,2.100000,0.000000,9500,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,327,0,9500,9783.786400231256,285.622889874503,16849.952570162714,1745.5963302752293
1787725023,30,,Aggregated,2.000000,0.000000,9500,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,330,0,9400,9768.999051753517,285.622889874503,16849.952570162714,1745.5363636363636
1787725024,30,,Aggregated,2.200000,0.000000,9400,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,332,0,9400,9758.00824931862,285.622889874503,16849.952570162714,1745.2319277108434
1787725025,30,,Aggregated,2.200000,0.000000,9400,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,335,0,9400,9738.491675876943,285.622889874503,16849.952570162714,1744.841791044776
1787725026,30,,Aggregated,2.300000,0.000000,9400,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,337,0,9400,9725.523110308466,285.622889874503,16849.952570162714,1744.593471810089
1787725027,30,,Aggregated,2.200000,0.000000,9400,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,339,0,9400,9712.936514804474,285.622889874503,16849.952570162714,1744.5486725663716
1787725028,30,,Aggregated,2.200000,0.000000,9300,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,342,0,9300,9701.130097832025,285.622889874503,16849.952570162714,1744.6842105263158
1787725029,30,,Aggregated,2.300000,0.000000,9300,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,343,0,9300,9696.246240757075,285.622889874503,16849.952570162714,1744.5655976676385
1787725030,30,,Aggregated,2.300000,0.000000,9300,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,345,0,9300,9685.743886979459,285.622889874503,16849.952570162714,1744.5565217391304
1787725031,30,,Aggregated,2.300000,0.000000,9300,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,348,0,9300,9671.609958270485,285.622889874503,16849.952570162714,1744.301724137931
1787725032,30,,Aggregated,2.300000,0.000000,9300,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,350,0,9300,9661.346400708759,285.622889874503,16849.952570162714,1744.0657142857142
1787725033,30,,Aggregated,2.200000,0.000000,9300,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,352,0,9200,9651.028634773287,285.622889874503,16849.952570162714,1744.5170454545455
1787725034,30,,Aggregated,2.200000,0.000000,9200,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,355,0,9200,9635.38083639127,285.622889874503,16849.952570162714,1744.1915492957746
1787725035,30,,Aggregated,2.300000,0.000000,9200,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,358,0,9100,9608.931284341259,285.622889874503,16849.952570162714,1743.8659217877096
1787725036,30,,Aggregated,2.200000,0.000000,9100,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,360,0,9100,9591.49867011454,285.622889874503,16849.952570162714,1743.7166666666667
1787725037,30,,Aggregated,2.200000,0.000000,9100,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,363,0,9100,9565.421690719239,285.622889874503,16849.952570162714,1743.581267217631
1787725038,30,,Aggregated,2.300000,0.000000,9100,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,366,0,9100,9536.133244423745,285.622889874503,16849.952570162714,1743.4344262295083
1787725039,30,,Aggregated,2.300000,0.000000,9000,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,369,0,9000,9506.708925184832,285.622889874503,16849.952570162714,1743.2168021680218
1787725040,30,,Aggregated,2.400000,0.000000,9000,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,370,0,9000,9497.456030081958,285.622889874503,16849.952570162714,1743.291891891892
